;Destino;Pais;Descrição;Hospedagem;Passagem;Pais_pt;Pais_en;Currency;ISO Code
10;San Blás;Panamá;Se as Maldivas ou o Taiti parecerem longe demais – dos pontos de vista financeiro e geográfico –, vale olhar com atenção a foto ao lado. O Arquipélago de San Blás, no Caribe panamenho, a três horas de carro da Cidade do Panamá, tem 360 ilhotas de areia branquinha forradas de coqueiros. Mas o lugar vai além do apelo polinésio. Aqui o viajante pode conhecer a cultura dos índios kuna, de origem caribenha, que governam o primeiro território indígena autônomo da América Latina. É preciso um pouco de boa vontade com a hospedagem, já que as pousadas são espartanas.  O hotel Cabañas Kuanidup tem bangalôs rústicos, mas confortáveis, construídos sobre palafitas, de frente para o mar, na Ilha de Kuanidup. A ilha pode ser visitada o ano todo, mas é bom ficar atento aos meses de agosto e setembro, os mais propensos a furacões na região do Caribe.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-348854%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DHuaraz%252C%2520%25E2%2580%258BAncash%252C%2520%25E2%2580%258BPeru%3Bss_all%3D0%3Bss_raw%3DHuaraz%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DAmazonas%26%3B&amp;ss=San+Bl%C3%A1s&amp;ssne=Huaraz&amp;ssne_untouched=Huaraz&amp;city=-348854&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1"" rel=""noopener"" target=""_blank""><em>Busque acomodações em San Blás</em></a>";<em>Busque passagens aéreas para Cidade do Panamá</em>;Panamá;Panama;Panamanian balboa;PAB
11;Deserto do Atacama;Chile;"O deserto mais inóspito do mundo, com taxas de umidade dignas dos invernos paulistanos, é também um dos mais cênicos. E muito provavelmente o mais colorido. Verde por causa dos arbustos rasteiros; azul graças a seu céu implacável; e branco, cortesia dos nevados de seus picos – quase sempre cumes de vulcões inativos dos Andes, a cordilheira que bordeja o Atacama. Para completar, há ainda os salares que abrem enormes áreas brancas e, claro, os flamingos a dar o toque final, colorindo o céu de rosa-escarlate. O vilarejo de San Pedro de Atacama, a 1.300 quilômetros ao norte de Santiago, é a base para os passeios no deserto mais seco do mundo. Na cidade também há o interessante Museo Arqueológico. ";"<strong></strong><a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bclass_interval%3D1%3Bdest_id%3D43%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DChile%3Bss_all%3D0%3Bss_raw%3DChile%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DSan%2520Blas%26%3B&amp;ss=San+Pedro+de+Atacama%2C+Antofagasta%2C+Chile&amp;ssne=Chile&amp;ssne_untouched=Chile&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=atacama&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-900753&amp;dest_type=city&amp;place_id_lat=-22.91078&amp;place_id_lon=-68.2006&amp;search_pageview_id=9b2d82c142df0210&amp;search_selected=true&amp;search_pageview_id=9b2d82c142df0210&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em San Pedro do Atacama</em></a>";<em>Busque passagens aéreas para Calama</em>;Chile;Chile;Chilean peso;CLP
12;Lençóis Maranhenses;Brasil;"Quilômetros de dunas entrecortadas por lagoas verde-esmeralda que estão cheias depois das chuvas do começo do ano. Se muitos viajantes ficam na periferia do Parque Nacional em bate e voltas desde Barreirinhas, a proposta é avançar. Em quatro dias de caminhada, outras lagoas e o cotidiano de quem mora naquele lugar improvável se descortinam, e aí dá para entender a razão de tudo aquilo ser chamado de deserto. As caminhadas são feitas com sol baixo, quando diferentes tons de amarelo, vermelho e rosa pintam areias e dunas. Pequenos aviões fretados saem de <a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bclass_interval%3D1%3Bdest_id%3D20133776%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DPark%2520City%252C%2520Utah%252C%2520Estados%2520Unidos%3Bss_all%3D0%3Bss_raw%3Dpark%2520city%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DEstados%2520Unidos%26%3B&amp;ss=S%C3%A3o+Lu%C3%ADs%2C+Maranh%C3%A3o%2C+Brasil&amp;ssne=Park+City&amp;ssne_untouched=Park+City&amp;city=20133776&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=s%C3%A3o+luis&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-671519&amp;dest_type=city&amp;place_id_lat=-2.53192&amp;place_id_lon=-44.29333&amp;search_pageview_id=f8d1833bc21501ab&amp;search_selected=true&amp;search_pageview_id=f8d1833bc21501ab&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank"">São Luis</a> rumo a Barreirinhas. Para se hospedar em Barreirinhas, o <a href=""https://www.booking.com/hotel/br/porto-preguiassas-resort.pt-br.html?aid=332455"" rel=""noopener"" target=""_blank"">Porto Preguiças Resort</a> tem piscina natural, praia de água doce e caiaques para passeio.";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bcity%3D-1655011%3Bclass_interval%3D1%3Bdest_id%3D-628252%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Bhighlighted_hotels%3D367644%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dhotel%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DPorto%2520Pregui%25C3%25A7as%2520Resort%252C%2520Barreirinhas%252C%2520Maranh%25C3%25A3o%252C%2520Brasil%3Bss_all%3D0%3Bss_raw%3Dporto%2520pregui%25C3%25A7as%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DCanc%25C3%25BAn%26%3B&amp;ss=Barreirinhas%2C+Maranh%C3%A3o%2C+Brasil&amp;ssne=Barreirinhas&amp;ssne_untouched=Barreirinhas&amp;city=-628252&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=barreiri&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-628252&amp;dest_type=city&amp;place_id_lat=-2.75863&amp;place_id_lon=-42.82324&amp;search_pageview_id=9abe8478a1ca0934&amp;search_selected=true&amp;search_pageview_id=9abe8478a1ca0934&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Barreirinhas</em></a>";<em>Busque passagens aéreas para São Luís</em>;Brasil;Brazil;Brazilian real;BRL
13;Arches National Park;Estados Unidos;O deserto no Utah é cheio de arcos e outras formações rochosas, o que o torna um dos favoritos dos fotógrafos.   Um dos parques mais bonitos do sudoeste dos Estados Unidos é famoso por preservar mais de 2000 arcos de arenito naturais. Muitos são facilmente encontrados por estradas pavimentadas e trilhas relativamente curtas. Dá para se hospedar perto, nas montanhas de Utah, em Park City, no Sundance Resort que é de propriedade do ator e diretor Robert Redford. ;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Parque+Nacional+Arches%2C+Estados+Unidos&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;map=1&amp;from_sf=1&amp;ss_raw=arches&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=6545&amp;dest_type=region&amp;place_id_lat=38.571959&amp;place_id_lon=-109.547461&amp;search_pageview_id=804d83dfd971014b&amp;search_selected=true&amp;search_pageview_id=804d83dfd971014b&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0#map_closed"" rel=""noopener"" target=""_blank""><em>Busque hospedagens próximas ao Arches National Park</em></a>";<em>Busque passagens aéreas para Salt Lake City</em>;Estados Unidos;United States;United States dollar;USD
14;Vancouver;Canadá;Muito arborizada e cheia de parques, é uma metrópole mais do que cênica entre o mar e as Montanhas Rochosas.   Eleita a melhor cidade do mundo para se viver, segundo a revista The Economist em 2011, dá para curtir a cidade com um pé na natureza e o outro nas delícias da vida urbana. A melhor época para visitá-la é entre abril e outubro. ;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Vancouver%2C+%E2%80%8BBritish+Columbia%2C+%E2%80%8BCanad%C3%A1&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Vancouver++&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-575268&amp;dest_type=city&amp;search_pageview_id=217578a75d54059d&amp;search_selected=true&amp;search_pageview_id=217578a75d54059d&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Vancouver</em></a>";<em>Busque passagens aéreas  para Vancouver</em>;Canadá;Canada;Canadian dollar;CAD
15;Yucatán;México;Cancún, Tulum, Chichén Itzá, Mérida e os cenotes, as cavernas alagadas da linda península mexicana, combinação de natureza prodigiosa e fausto maia.   Cancún continua sendo o arquipélago preferido: com lindas praias e dos resorts, a cidade também é excelente para as compras, com pelo menos cinco shoppings na zona hoteleira. O La Isla Shopping tem ruas ao ar livre à beira da laguna e o ForumbytheSea reserva cinemas modernos, um Hard Rock Café e a megaloja de discos CocoBongo.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bclass_interval%3D1%3Bdest_id%3D6545%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bmap%3D1%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DParque%2520Nacional%2520Arches%252C%2520Estados%2520Unidos%3Bss_all%3D0%3Bss_raw%3Darches%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Canc%C3%BAn%2C+Quintana+Roo%2C+M%C3%A9xico&amp;ssne=Parque+Nacional+Arches&amp;ssne_untouched=Parque+Nacional+Arches&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=cancun&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-1655011&amp;dest_type=city&amp;place_id_lat=21.161314&amp;place_id_lon=-86.834129&amp;search_pageview_id=920083e477e502aa&amp;search_selected=true&amp;search_pageview_id=920083e477e502aa&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Cancún</em></a>";<em>Busque passagens aéreas para Cancún</em>;México;Mexico;Mexican peso;MXN
16;Big Island;Havaí;A menos americanizada das ilhas do Havaí tem ondas gigantes, praias paradisíacas, vulcões ativos, dançarinas de hula e florestas tropicais. Para quem gosta de belezas naturais e um toque de emoção, Big Island tem, além das praias de sonho, um vulcão ativo, o Kilauea (foto), que despeja lama no mar.;"<em><a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D137%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DM%25C3%25A9xico%3Bss_all%3D0%3Bss_raw%3DM%25C3%25A9xico%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Hava%C3%AD%2C+%E2%80%8BEstados+Unidos&amp;ssne=M%C3%A9xico&amp;ssne_untouched=M%C3%A9xico&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Hava%C3%AD+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=2996&amp;dest_type=region&amp;search_pageview_id=686578c8a4940289&amp;search_selected=true&amp;search_pageview_id=686578c8a4940289&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank"">Busque hospedagens no Havaí</a></em>";<em>Busque passagens aéreas para Havaí</em>;;;;
17;Yosemite;Estados Unidos;Um vale rochoso monumental protegido pelo terceiro mais antigo parque nacional americano, lar de ursos, águias e escaladores.   O Parque Nacional Yosemite ocupa uma área que equivale a mil vezes o tamanho do Central Park e sua cadeia de montanhas é a meca dos escaladores. Apesar de representar apenas 5% da área do parque, dedique seu tempo ao Yosemite Valley. Deixe o carro de lado e embarque em um tour pelo Valley Floor, que é feito em jardineiras abertas. O passeio dura duas horas e você avista pontos muito famosos, como os maciços graníticos Half Dome e El Capitan, as cachoeiras Yosemite e Bridalveil. Aproveite também para fazer uma refeição no luxuoso Ahwahnee Hotel, construído com pedra e madeira.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D2996%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DHava%25C3%25AD%252C%2520%25E2%2580%258BEstados%2520Unidos%3Bss_all%3D0%3Bss_raw%3DHava%25C3%25AD%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DM%25C3%25A9xico%26%3B&amp;ss=Yosemite%2C+%E2%80%8BFresno%2C+%E2%80%8BCalif%C3%B3rnia%2C+%E2%80%8BEstados+Unidos&amp;ssne=Hava%C3%AD&amp;ssne_untouched=Hava%C3%AD&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Yosemite&amp;ac_position=4&amp;ac_langcode=xb&amp;dest_id=388&amp;dest_type=airport&amp;search_pageview_id=6e5678d24e9c0401&amp;search_selected=true&amp;search_pageview_id=6e5678d24e9c0401&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Yosemite</em></a>";<em>Busque hospedagens aéreas para São Francisco</em>;Estados Unidos;United States;United States dollar;USD
18;Antelope Canyon;Estados Unidos;Na terra dos índios navajos, em Page, no norte do Arizona, bem perto do Grand Canyon, esse estreito cânion esculpido pelo tempo revela cores e formas distintas a cada visitante que o adentra. E essas cores e formas se alteram ao longo do dia. Ter-se tornado uma locação requisitadíssima de ensaios fotográficos foi um pulo. Os navajos sabem valorizar a atração e cobram um preço de ingresso diferente para cada tipo de visitante (fotógrafos profissionais pagam mais). Mas são acolhedores, principalmente com os estrangeiros. Apenas grupos fechados e com guias são autorizados a entrar no parque. Melhor fazer reserva com antecedência, principalmente no período de pico (de maio a setembro). ;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Estados+Unidos&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Estados+Unidos&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=224&amp;dest_type=country&amp;search_pageview_id=6f6c78f9cbe50594&amp;search_selected=true&amp;search_pageview_id=6f6c78f9cbe50594&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Page</em></a>";<em>Busque passagens aéreas para Arizona</em>;Estados Unidos;United States;United States dollar;USD
19;Palenque – México;Palenque – México;Em meio à neblina da floresta úmida, o conjunto de ruínas de Chiapas mostra o engenho maia do século 7 – as construções ergueram-se no meio do mato, sem ajuda de ferramentas de metal, de animais de tração e muito menos da roda. A cidade de Palenque está a 191 quilômetros de San Cristóbal de Las Casas, no estado de Chiapas. A visita obrigatória se faz no Parque Nacional Palenque. A entrada dá direito a visitar o museu, que funciona de 10h às 17h e fecha às segundas-feiras.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D224%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DEstados%2520Unidos%3Bss_all%3D0%3Bss_raw%3DEstados%2520Unidos%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Palenque%2C+%E2%80%8BChiapas%2C+%E2%80%8BM%C3%A9xico&amp;ssne=Estados+Unidos&amp;ssne_untouched=Estados+Unidos&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=+Palenque&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-1686650&amp;dest_type=city&amp;search_pageview_id=d8cd78ffbc310033&amp;search_selected=true&amp;search_pageview_id=d8cd78ffbc310033&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Palenque</em></a>";<em>Busque passagens aéreas para Palenque </em>;;;;
20;Nunavut;Canadá;Ursos-polares, belugas e esquimós são os parceiros nas caminhadas sobre o gelo na zona mais ártica do país. Ocupando uma área um pouco maior que a da Amazônia, Nunavut (“nossa terra”, em Inuktitut, o idioma local), é uma profusão de geleiras e ilhas, ocupadas por 28 mil habitantes. A porta de entrada é a cidade de Iqaluit, mais próxima da Groenlândia. Agências locais organizam pacotes diferentes para cada estação – e nenhum turista encara o inverno. No verão, os dias são intermináveis, com quase 24 horas de luz, favorecendo cruzeiros e passeios de caiaque entre os icebergs.;"<em><a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bclass_interval%3D1%3Bdest_id%3D-1686650%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DPalenque%252C%2520%25E2%2580%258BChiapas%252C%2520%25E2%2580%258BM%25C3%25A9xico%3Bss_all%3D0%3Bss_raw%3DPalenque%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DEstados%2520Unidos%26%3B&amp;ss=Nunavut%2C+Canad%C3%A1&amp;ssne=Palenque&amp;ssne_untouched=Palenque&amp;city=-1686650&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=Nunavut&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=3139&amp;dest_type=region&amp;place_id_lat=63.748152&amp;place_id_lon=-68.516742&amp;search_pageview_id=c84b8554d289033e&amp;search_selected=true&amp;search_pageview_id=c84b8554d289033e&amp;ac_suggestion_list_length=1&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank"">Busque hospedagens na região de Nunavut</a></em>";<em>Busque passagens aéreas para Nunavut</em>;Canadá;Canada;Canadian dollar;CAD
